node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
135335,109,3,10,3,0,0,0,1,bridge
135336,117,4,10,0,0,0,0,1,bridge
135337,3,1,1,0,0,0,0,0,non_bridge
135338,431,10,20,3,0,0,0,0,non_bridge
135339,8,2,2,0,0,0,0,0,non_bridge
135340,6,1,2,0,0,0,0,0,non_bridge
135341,147,8,11,0,0,0,0,1,bridge
135342,0,0,0,0,0,0,0,0,non_bridge
135343,26,3,5,3,0,0,0,1,bridge
135344,5,2,2,3,0,0,0,0,non_bridge
135345,36,3,5,0,0,0,0,0,non_bridge
135346,11230,57,98,0,0,0,0,0,non_bridge
135347,6,2,2,0,0,0,0,1,bridge
135348,237,10,14,3,0,0,0,1,bridge
135349,1531,20,38,0,1,1,0,0,non_bridge
135350,5,1,2,2,0,0,0,0,non_bridge
135351,8891,41,93,3,0,0,0,1,bridge
135352,3391,27,57,3,1,1,0,0,non_bridge
135353,2339,23,48,0,0,1,0,0,non_bridge
135354,125,6,11,0,1,0,0,0,non_bridge
135355,185,6,13,3,0,0,0,0,non_bridge
135356,26,3,4,0,0,1,0,0,non_bridge
135357,698,13,26,0,0,1,0,0,non_bridge
135358,0,0,0,3,0,0,0,0,non_bridge
135359,4,1,2,0,0,0,0,0,non_bridge
135360,119,5,10,0,0,0,0,1,bridge
135361,4,2,2,0,0,0,0,0,non_bridge
135362,51,3,7,0,0,0,0,0,non_bridge
135363,26,3,5,0,0,0,0,0,non_bridge
135364,70,5,7,0,0,0,0,0,non_bridge
135365,221,7,14,0,0,0,0,1,bridge
135366,2659,18,51,0,0,0,0,1,bridge
135367,829,16,28,0,0,0,0,0,non_bridge
135368,1705,21,40,3,0,1,0,1,bridge
135369,293,9,16,3,0,0,0,1,bridge
135370,0,0,0,3,0,0,0,0,non_bridge
135371,26,3,4,3,0,0,0,1,bridge
135372,16,2,2,0,0,0,0,0,non_bridge
135373,768,13,26,0,1,0,0,0,non_bridge
135374,3,1,1,0,0,0,0,0,non_bridge
135375,690,11,25,0,1,0,0,0,non_bridge
135376,849,16,29,0,0,1,0,0,non_bridge
135377,25,3,4,1,0,0,0,1,bridge
135378,18,1,4,3,0,0,0,0,non_bridge
135379,10,2,3,0,0,0,0,1,bridge
135380,4427,31,63,0,1,0,0,1,bridge
135381,143,6,11,0,0,0,0,0,non_bridge
135382,2863,20,53,0,1,0,0,1,bridge
135383,17,2,4,0,0,1,0,1,bridge
135384,123,6,10,3,1,0,0,0,non_bridge
135385,176,6,12,0,1,0,0,0,non_bridge
135386,19,2,4,0,1,0,0,0,non_bridge
135387,2388,21,48,3,0,0,0,0,non_bridge
135388,942,18,30,3,1,0,0,0,non_bridge
135389,0,0,0,0,0,0,0,0,non_bridge
135390,231,5,15,0,0,1,0,0,non_bridge
135391,780,10,27,0,0,0,0,0,non_bridge
135392,8806,42,82,3,0,0,0,1,bridge
135393,333,10,18,0,0,1,0,1,bridge
135394,20,2,4,0,0,0,0,0,non_bridge
135395,24,2,4,0,0,0,0,0,non_bridge
135396,75,2,8,0,0,0,0,1,bridge
135397,772,14,27,0,0,0,0,0,non_bridge
135398,775,17,26,2,0,1,0,0,non_bridge
135399,33,3,5,0,0,0,0,0,non_bridge
135400,194,7,13,3,0,0,0,0,non_bridge
135401,199,7,14,3,0,1,0,1,bridge
135402,10498,45,102,3,0,0,0,0,non_bridge
135403,2129,24,45,0,0,1,0,0,non_bridge
135404,0,0,0,0,0,0,0,0,non_bridge
135405,1,1,1,0,0,0,0,0,non_bridge
135406,1155,20,30,0,0,1,0,0,non_bridge
135407,186,7,13,0,0,0,0,0,non_bridge
135408,95,5,7,3,0,1,0,1,bridge
135409,1659,15,40,3,0,0,0,0,non_bridge
135410,4599,36,65,0,0,0,0,0,non_bridge
135411,2,1,1,0,0,0,0,0,non_bridge
135412,43,3,6,3,0,0,0,1,bridge
135413,261,10,16,0,0,0,0,0,non_bridge
135414,19,2,4,1,0,0,0,1,bridge
135415,53,4,6,0,0,0,0,0,non_bridge
135416,27,3,5,0,0,0,0,0,non_bridge
135417,0,0,0,0,0,0,0,0,non_bridge
135418,5,1,2,0,0,0,0,0,non_bridge
135419,820,7,28,0,0,0,0,0,non_bridge
135420,4,1,1,1,0,0,0,0,non_bridge
135421,6,1,2,0,1,1,0,1,bridge
135422,100,7,9,0,0,0,0,0,non_bridge
135423,4,1,2,0,0,0,0,0,non_bridge
135424,84,6,9,0,0,1,0,1,bridge
135425,4274,30,65,3,0,0,0,0,non_bridge
135426,83,4,9,0,0,0,0,0,non_bridge
135427,57,4,7,0,1,0,0,1,bridge
135428,29,3,5,0,0,0,0,0,non_bridge
135429,13,1,3,3,1,0,0,0,non_bridge
135430,0,0,0,0,0,0,0,0,non_bridge
135431,1373,12,37,3,0,0,0,0,non_bridge
135432,83,3,9,0,0,1,0,0,non_bridge
135433,63,3,7,1,0,1,0,1,bridge
135434,539,11,23,3,0,0,0,1,bridge
135435,1171,5,34,3,0,1,0,0,non_bridge
135436,19,3,4,0,0,0,0,0,non_bridge
135437,1045,11,32,0,0,0,0,0,non_bridge
135438,0,0,0,1,1,0,0,0,non_bridge
135439,5,1,2,0,0,0,0,0,non_bridge
135440,37,3,6,0,1,0,0,0,non_bridge
135441,0,0,0,0,0,0,0,0,non_bridge
135442,273,9,16,0,0,1,0,0,non_bridge
135443,12,1,3,0,0,1,0,0,non_bridge
135444,0,0,0,0,0,0,0,0,non_bridge
135445,12,1,3,0,0,0,0,1,bridge
135446,0,0,0,0,0,0,0,0,non_bridge
135447,340,6,18,3,0,0,0,0,non_bridge
135448,0,0,0,0,1,0,0,0,non_bridge
135449,631,12,25,0,0,0,0,0,non_bridge
135450,126,7,11,0,1,0,0,0,non_bridge
135451,342,8,18,2,0,0,0,0,non_bridge
135452,0,0,0,0,0,0,0,0,non_bridge
135453,24,3,3,0,0,0,0,0,non_bridge
135454,6,1,2,1,0,1,0,0,non_bridge
135455,391,6,19,0,0,0,0,1,bridge
135456,30,4,5,1,0,0,0,0,non_bridge
135457,10,1,3,0,1,0,0,0,non_bridge
135458,61,4,7,0,0,0,0,1,bridge
135459,531,11,23,3,0,1,0,0,non_bridge
135460,750,7,26,0,1,0,0,0,non_bridge
135461,3,1,1,0,0,0,0,0,non_bridge
135462,648,12,25,0,0,0,0,0,non_bridge
135463,314,9,16,0,1,0,0,0,non_bridge
135464,75,4,8,0,0,0,0,1,bridge
135465,162,6,12,3,0,1,0,1,bridge
135466,11,2,3,3,0,0,0,0,non_bridge
135467,590,8,24,0,0,1,0,0,non_bridge
135468,4636,36,65,0,0,1,0,0,non_bridge
135469,0,0,0,0,0,0,0,0,non_bridge
135470,28,3,5,0,0,0,0,0,non_bridge
135471,15,3,3,3,0,0,0,0,non_bridge
135472,87,4,9,0,0,1,0,0,non_bridge
135473,17,2,3,3,0,0,0,1,bridge
135474,1617,18,39,3,0,0,0,0,non_bridge
135475,165,8,12,0,1,0,0,0,non_bridge
135476,19,2,4,1,1,0,0,0,non_bridge
135477,1565,20,39,3,1,0,0,1,bridge
135478,229,9,14,0,0,0,0,1,bridge
135479,51,2,7,3,0,0,0,0,non_bridge
135480,31,4,5,0,1,0,0,0,non_bridge
135481,3,1,1,1,0,1,0,0,non_bridge
135482,368,8,19,0,1,0,0,0,non_bridge
135483,325,7,17,3,0,0,0,0,non_bridge
135484,21,2,4,0,1,0,0,0,non_bridge
135485,138,7,11,0,0,0,0,0,non_bridge
135486,427,8,20,3,0,0,0,1,bridge
135487,3,1,1,0,0,1,0,1,bridge
135488,380,11,17,0,0,0,0,1,bridge
135489,1,1,1,3,0,0,0,0,non_bridge
135490,4079,31,63,3,1,0,0,0,non_bridge
135491,234,7,15,3,0,0,0,0,non_bridge
135492,6,1,2,0,0,0,0,0,non_bridge
135493,59,4,7,3,1,0,0,1,bridge
135494,963,16,29,3,1,0,0,0,non_bridge
135495,164,8,12,0,0,0,0,0,non_bridge
135496,75,5,8,2,0,0,0,0,non_bridge
135497,0,0,0,0,0,0,0,0,non_bridge
135498,490,12,19,3,1,1,0,1,bridge
135499,7,1,2,0,0,0,0,1,bridge
135500,6,1,2,3,0,0,0,0,non_bridge
135501,519,12,22,1,0,0,0,0,non_bridge
135502,1055,19,28,0,0,0,0,0,non_bridge
135503,270,6,16,0,1,1,0,1,bridge
135504,373,12,18,0,1,0,0,0,non_bridge
135505,2,1,1,0,0,0,0,0,non_bridge
135506,3201,29,54,3,0,0,0,0,non_bridge
135507,1,1,1,0,0,0,0,0,non_bridge
135508,0,0,0,1,1,0,0,0,non_bridge
135509,3293,20,57,0,1,0,0,0,non_bridge
135510,855,11,29,3,0,0,0,0,non_bridge
135511,34,4,4,0,0,0,0,0,non_bridge
135512,3,1,1,0,0,0,0,0,non_bridge
