node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
54265,21,3,4,0,0,0,0,1,bridge
54269,12,2,3,0,0,1,0,1,bridge
54270,33,4,5,0,0,0,0,1,bridge
54277,62,5,6,0,0,0,0,1,bridge
54279,514,13,21,3,0,0,0,1,bridge
54281,62,3,7,1,0,0,0,1,bridge
54288,481,13,21,0,0,0,0,1,bridge
54299,5,2,2,0,0,0,0,1,bridge
54306,159,6,11,3,0,1,0,1,bridge
54309,349,11,18,2,0,0,0,1,bridge
54310,266,10,16,3,0,1,0,1,bridge
54319,0,0,0,0,0,0,0,1,bridge
54323,4946,25,70,0,0,0,0,1,bridge
54324,5,1,2,3,0,0,0,1,bridge
54325,4275,26,65,0,0,1,0,1,bridge
54327,425,12,19,0,0,0,0,1,bridge
54331,129,5,11,0,0,0,0,1,bridge
54340,547,7,23,0,0,1,0,1,bridge
54343,84,5,7,3,0,0,0,1,bridge
54347,72,4,8,0,1,0,0,1,bridge
54357,206,6,14,0,0,0,0,1,bridge
54360,94,5,8,0,1,0,0,1,bridge
54370,105,6,10,3,0,0,0,1,bridge
54378,45,3,6,3,0,0,0,1,bridge
54380,241,7,15,2,0,0,0,1,bridge
54391,143,6,11,3,0,0,0,1,bridge
54396,38,3,4,0,0,0,0,1,bridge
54397,131,6,11,0,0,0,0,1,bridge
54402,3053,29,55,0,0,0,0,1,bridge
54407,88,4,9,0,0,0,0,1,bridge
54408,2032,20,41,3,0,0,0,1,bridge
54413,168,8,12,2,0,1,0,1,bridge
54420,155,6,12,3,0,0,0,1,bridge
54421,561,8,23,2,0,0,0,1,bridge
54425,772,17,25,3,1,0,0,1,bridge
54430,282,10,16,0,1,0,0,1,bridge
54433,1750,26,41,0,1,1,0,1,bridge
54435,36,4,6,0,1,0,0,1,bridge
54442,72,3,8,0,0,1,0,1,bridge
54443,5,1,2,1,0,0,0,1,bridge
54446,33,2,5,0,0,0,0,1,bridge
54449,91,6,9,0,0,0,0,1,bridge
54478,84,6,8,3,0,0,0,1,bridge
54482,101,3,10,0,1,1,0,1,bridge
54488,42,2,6,1,0,0,0,1,bridge
54497,232,8,15,3,0,0,0,1,bridge
54498,340,10,18,0,0,0,0,1,bridge
54499,105,7,10,0,0,0,0,1,bridge
54502,42,4,6,0,0,0,0,1,bridge
54506,4,1,2,0,1,0,0,1,bridge
54509,347,10,15,0,0,0,0,1,bridge
54515,3385,33,56,3,0,1,0,1,bridge
54520,1081,18,32,3,0,0,0,1,bridge
54525,3615,35,59,3,1,1,0,1,bridge
54526,60,2,7,0,0,1,0,1,bridge
54534,240,6,15,0,0,0,0,1,bridge
